text_id,GPEs,neg,neu,pos,compound,evaluation
1,,0.444,0.556,0.0,-0.4939,negative
2,,0.242,0.645,0.113,-0.5267,negative
4,,0.266,0.591,0.143,-0.3595,negative
6,"['Tehran', 'USA']",0.0,1.0,0.0,0.0,neutral
7,,0.226,0.774,0.0,-0.5423,negative
13,,0.146,0.625,0.229,0.296,positive
14,,0.328,0.672,0.0,-0.5994,negative
17,,0.44,0.4,0.16,-0.7088,negative
18,,0.241,0.502,0.257,0.1111,positive
22,,0.0,0.828,0.172,0.4019,positive
25,,0.0,1.0,0.0,0.0,neutral
30,,0.302,0.605,0.093,-0.6705,negative
32,,0.0,0.795,0.205,0.4767,positive
33,,0.0,0.707,0.293,0.4404,positive
34,"['UK', 'Russia']",0.0,0.756,0.244,0.4404,positive
35,,0.134,0.866,0.0,-0.593,negative
36,,0.0,0.825,0.175,0.5267,positive
37,,0.0,1.0,0.0,0.0,neutral
38,,0.0,1.0,0.0,0.0,neutral
39,,0.333,0.667,0.0,-0.5423,negative
40,,0.315,0.685,0.0,-0.3182,negative
43,,0.0,1.0,0.0,0.0,neutral
44,,0.228,0.468,0.304,0.0772,positive
46,,0.316,0.506,0.177,-0.296,negative
49,,0.1,0.849,0.05,-0.3182,negative
50,,0.237,0.763,0.0,-0.7096,negative
53,,0.318,0.682,0.0,-0.6369,negative
54,,0.0,1.0,0.0,0.0,neutral
55,,0.0,1.0,0.0,0.0,neutral
57,,0.0,1.0,0.0,0.0,neutral
59,,0.272,0.728,0.0,-0.6249,negative
61,['Detroit'],0.0,1.0,0.0,0.0,neutral
64,,0.0,0.833,0.167,0.5574,positive
70,,0.0,1.0,0.0,0.0,neutral
72,,0.0,0.723,0.277,0.3182,positive
75,,0.0,1.0,0.0,0.0,neutral
79,,0.0,1.0,0.0,0.0,neutral
80,,0.0,1.0,0.0,0.0,neutral
84,,0.0,1.0,0.0,0.0,neutral
92,,0.0,1.0,0.0,0.0,neutral
93,,0.18,0.82,0.0,-0.296,negative
96,,0.061,0.939,0.0,-0.0258,neutral
97,,0.0,1.0,0.0,0.0,neutral
102,,0.0,0.763,0.237,0.4215,positive
107,,0.0,1.0,0.0,0.0,neutral
108,,0.592,0.408,0.0,-0.4404,negative
109,,0.0,0.348,0.652,0.8176,positive
110,,0.0,0.769,0.231,0.743,positive
113,,0.547,0.0,0.453,-0.1779,negative
114,"['Russia', 'USA']",0.2,0.8,0.0,-0.3612,negative
115,,0.164,0.621,0.215,0.2263,positive
118,,0.107,0.611,0.282,0.5106,positive
119,,0.0,1.0,0.0,0.0,neutral
122,,0.141,0.859,0.0,-0.3182,negative
124,,0.358,0.642,0.0,-0.5994,negative
125,,0.585,0.415,0.0,-0.9018,negative
128,['Russia'],0.0,0.898,0.102,0.1511,positive
129,"['Russia', 'US']",0.0,0.701,0.299,0.5719,positive
130,['New Eastern Outlook'],0.0,1.0,0.0,0.0,neutral
132,,0.0,1.0,0.0,0.0,neutral
135,,0.0,1.0,0.0,0.0,neutral
136,,0.0,1.0,0.0,0.0,neutral
